item_id,skill_ids,difficulty
content_52,"['Programming', 'Physics']",2
content_280,"['Communication', 'Mathematics']",2
content_159,"['Programming', 'Aptitude']",1
content_82,"['Mathematics', 'Physics']",1
content_77,"['Aptitude', 'Programming']",1
content_2,"['Programming', 'Communication']",1
content_51,"['Programming', 'Physics']",1
content_121,"['Programming', 'Physics']",3
content_275,"['Chemistry', 'Mathematics']",3
content_337,"['Physics', 'Chemistry']",1
content_281,"['Communication', 'Physics']",3
content_87,"['Physics', 'Chemistry']",1
content_186,"['Communication', 'Aptitude']",3
content_408,"['Communication', 'Physics']",1
content_493,"['Programming', 'Physics']",1
content_89,"['Communication', 'Physics']",2
content_17,"['Chemistry', 'Communication']",1
content_395,"['Mathematics', 'Aptitude']",1
content_282,"['Communication', 'Chemistry']",2
content_379,"['Chemistry', 'Physics']",2
content_101,"['Aptitude', 'Chemistry']",1
content_351,"['Communication', 'Mathematics']",1
content_375,"['Communication', 'Chemistry']",1
content_40,"['Chemistry', 'Mathematics']",3
content_452,"['Aptitude', 'Chemistry']",2
content_386,"['Programming', 'Chemistry']",3
content_345,"['Mathematics', 'Communication']",3
content_199,"['Communication', 'Aptitude']",2
content_268,"['Communication', 'Mathematics']",2
content_63,"['Programming', 'Chemistry']",1
content_371,"['Aptitude', 'Communication']",2
content_400,"['Mathematics', 'Chemistry']",2
content_327,"['Chemistry', 'Physics']",3
content_211,"['Aptitude', 'Communication']",3
content_114,"['Mathematics', 'Physics']",2
content_213,"['Mathematics', 'Chemistry']",2
content_431,"['Communication', 'Physics']",2
content_5,"['Chemistry', 'Mathematics']",3
content_122,"['Communication', 'Aptitude']",1
content_276,"['Aptitude', 'Physics']",2
content_290,"['Mathematics', 'Communication']",1
content_347,"['Communication', 'Physics']",2
content_342,"['Programming', 'Chemistry']",3
content_349,"['Chemistry', 'Physics']",3
content_45,"['Aptitude', 'Communication']",1
content_333,"['Mathematics', 'Physics']",1
content_360,"['Programming', 'Communication']",3
content_246,"['Programming', 'Communication']",3
content_126,"['Communication', 'Programming']",3
content_378,"['Physics', 'Communication']",3
content_195,"['Chemistry', 'Physics']",1
content_308,"['Aptitude', 'Programming']",1
content_7,"['Aptitude', 'Chemistry']",1
content_239,"['Mathematics', 'Aptitude']",1
content_384,"['Aptitude', 'Mathematics']",3
content_262,"['Physics', 'Chemistry']",1
content_304,"['Chemistry', 'Physics']",2
content_362,"['Mathematics', 'Programming']",2
content_157,"['Communication', 'Physics']",3
content_332,"['Communication', 'Physics']",2
content_249,"['Programming', 'Physics']",1
content_220,"['Chemistry', 'Aptitude']",3
content_247,"['Aptitude', 'Physics']",1
content_95,"['Chemistry', 'Physics']",2
content_24,"['Chemistry', 'Mathematics']",3
content_22,"['Aptitude', 'Programming']",2
content_12,"['Aptitude', 'Chemistry']",3
content_182,"['Mathematics', 'Aptitude']",2
content_67,"['Chemistry', 'Communication']",1
content_42,"['Chemistry', 'Physics']",3
content_132,"['Aptitude', 'Physics']",2
content_358,"['Aptitude', 'Physics']",3
content_368,"['Chemistry', 'Communication']",1
content_500,"['Programming', 'Chemistry']",1
content_469,"['Chemistry', 'Mathematics']",3
content_26,"['Chemistry', 'Physics']",3
content_243,"['Communication', 'Aptitude']",3
content_463,"['Chemistry', 'Aptitude']",2
content_234,"['Programming', 'Mathematics']",1
content_59,"['Aptitude', 'Programming']",3
content_223,"['Programming', 'Chemistry']",2
content_124,"['Physics', 'Chemistry']",3
content_138,"['Mathematics', 'Programming']",2
content_288,"['Chemistry', 'Mathematics']",2
content_187,"['Programming', 'Mathematics']",3
content_407,"['Aptitude', 'Physics']",1
content_15,"['Mathematics', 'Aptitude']",3
content_415,"['Chemistry', 'Communication']",1
content_335,"['Aptitude', 'Communication']",2
content_344,"['Physics', 'Chemistry']",2
content_273,"['Communication', 'Aptitude']",3
content_311,"['Programming', 'Communication']",3
content_165,"['Programming', 'Communication']",2
content_54,"['Aptitude', 'Communication']",3
content_93,"['Aptitude', 'Chemistry']",2
content_111,"['Mathematics', 'Programming']",3
content_235,"['Mathematics', 'Programming']",3
content_4,"['Communication', 'Mathematics']",2
content_271,"['Aptitude', 'Mathematics']",1
content_191,"['Chemistry', 'Aptitude']",2
content_464,"['Mathematics', 'Communication']",1
content_392,"['Physics', 'Aptitude']",2
content_57,"['Communication', 'Programming']",1
content_300,"['Chemistry', 'Programming']",2
