id,user_id,item_id,timestamp,action,correct,response_text,time_taken
int_1,user_1,content_16,2025-10-24T16:35:43.319720,attempt,1,Student answer text here,280.03
int_2,user_1,content_26,2025-10-23T16:35:43.320942,attempt,1,Student answer text here,103.43
int_3,user_1,content_5,2025-10-26T16:35:43.320983,complete,0,Partial response,59.42
int_4,user_1,content_7,2025-10-21T16:35:43.321000,attempt,0,Partial response,114.79
int_5,user_1,content_8,2025-10-25T16:35:43.321014,attempt,1,Student answer text here,113.24
int_6,user_1,content_17,2025-10-27T16:35:43.321029,view,0,Partial response,248.05
int_7,user_1,content_20,2025-10-25T16:35:43.321043,attempt,0,Partial response,70.05
int_8,user_1,content_46,2025-10-23T16:35:43.321059,attempt,0,Partial response,168.63
int_9,user_1,content_44,2025-10-24T16:35:43.321071,view,1,Student answer text here,38.39
int_10,user_1,content_26,2025-10-20T16:35:43.321083,complete,1,Student answer text here,178.53
int_11,user_1,content_7,2025-10-27T16:35:43.321094,view,1,Student answer text here,62.79
int_12,user_1,content_4,2025-10-26T16:35:43.321104,view,0,Partial response,252.39
int_13,user_1,content_24,2025-10-19T16:35:43.321113,complete,0,Partial response,99.88
int_14,user_1,content_53,2025-10-28T16:35:43.321123,view,0,Partial response,83.39
int_15,user_1,content_42,2025-10-26T16:35:43.321134,view,1,Student answer text here,274.37
int_16,user_1,content_54,2025-10-27T16:35:43.321143,view,1,Student answer text here,284.42
int_17,user_1,content_4,2025-10-19T16:35:43.321153,attempt,0,Partial response,251.86
int_18,user_1,content_26,2025-10-28T16:35:43.321165,attempt,1,Student answer text here,214.47
int_19,user_1,content_12,2025-10-25T16:35:43.321175,view,1,Student answer text here,104.25
int_20,user_2,content_57,2025-10-28T16:35:43.321191,complete,0,Partial response,197.18
int_21,user_2,content_16,2025-10-21T16:35:43.321202,attempt,1,Student answer text here,268.35
int_22,user_2,content_31,2025-10-27T16:35:43.321213,attempt,0,Partial response,133.41
int_23,user_2,content_27,2025-10-18T16:35:43.321224,complete,0,Partial response,97.27
int_24,user_2,content_52,2025-10-22T16:35:43.321236,complete,0,Partial response,126.96
int_25,user_2,content_35,2025-10-23T16:35:43.321248,complete,1,Student answer text here,165.65
int_26,user_2,content_25,2025-10-26T16:35:43.321260,view,1,Student answer text here,116.1
int_27,user_2,content_15,2025-10-24T16:35:43.321272,view,0,Partial response,248.34
int_28,user_2,content_31,2025-10-19T16:35:43.321284,view,1,Student answer text here,292.97
int_29,user_2,content_7,2025-10-18T16:35:43.321295,view,0,Partial response,101.96
int_30,user_2,content_53,2025-10-25T16:35:43.321306,complete,0,Partial response,258.56
int_31,user_2,content_52,2025-10-23T16:35:43.321318,view,1,Student answer text here,77.55
int_32,user_2,content_38,2025-10-23T16:35:43.321328,complete,1,Student answer text here,37.62
int_33,user_2,content_45,2025-10-19T16:35:43.321338,complete,1,Student answer text here,68.37
int_34,user_2,content_13,2025-10-20T16:35:43.321350,attempt,1,Student answer text here,77.4
int_35,user_2,content_3,2025-10-28T16:35:43.321360,view,0,Partial response,192.45
int_36,user_2,content_2,2025-10-28T16:35:43.321371,attempt,1,Student answer text here,277.83
int_37,user_2,content_13,2025-10-23T16:35:43.321382,complete,0,Partial response,77.91
int_38,user_2,content_52,2025-10-28T16:35:43.321393,view,1,Student answer text here,69.88
int_39,user_2,content_46,2025-10-27T16:35:43.321405,complete,0,Partial response,262.38
int_40,user_2,content_5,2025-10-18T16:35:43.321417,attempt,1,Student answer text here,188.22
int_41,user_2,content_22,2025-10-23T16:35:43.321429,view,1,Student answer text here,293.48
int_42,user_2,content_47,2025-10-18T16:35:43.321439,attempt,1,Student answer text here,205.28
int_43,user_2,content_12,2025-10-25T16:35:43.321449,complete,1,Student answer text here,189.02
int_44,user_2,content_12,2025-10-24T16:35:43.321458,complete,1,Student answer text here,215.89
int_45,user_2,content_9,2025-10-28T16:35:43.321468,complete,0,Partial response,286.15
int_46,user_2,content_26,2025-10-26T16:35:43.321478,complete,0,Partial response,115.92
int_47,user_2,content_52,2025-10-18T16:35:43.321488,complete,0,Partial response,58.11
int_48,user_2,content_32,2025-10-23T16:35:43.321499,complete,0,Partial response,51.01
int_49,user_3,content_21,2025-10-18T16:35:43.321511,view,0,Partial response,251.85
int_50,user_3,content_43,2025-10-21T16:35:43.321521,view,1,Student answer text here,101.61
int_51,user_3,content_16,2025-10-23T16:35:43.321532,attempt,0,Partial response,242.5
int_52,user_3,content_47,2025-10-28T16:35:43.321543,attempt,0,Partial response,148.32
int_53,user_3,content_27,2025-10-22T16:35:43.321554,attempt,0,Partial response,268.08
int_54,user_3,content_23,2025-10-27T16:35:43.321566,attempt,1,Student answer text here,242.96
int_55,user_3,content_37,2025-10-26T16:35:43.321578,attempt,0,Partial response,49.9
int_56,user_3,content_55,2025-10-24T16:35:43.321590,view,0,Partial response,116.05
int_57,user_3,content_7,2025-10-23T16:35:43.321601,view,0,Partial response,269.74
int_58,user_3,content_11,2025-10-20T16:35:43.321613,view,0,Partial response,121.25
int_59,user_3,content_40,2025-10-28T16:35:43.321624,attempt,1,Student answer text here,284.46
int_60,user_3,content_11,2025-10-26T16:35:43.321635,view,1,Student answer text here,57.34
