user_id,rec_list,chosen_item,rationale,timestamp
user_1,"[""content_6"", ""content_34"", ""content_24""]",content_24,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835664
user_1,"[""content_48"", ""content_39"", ""content_37""]",content_48,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835693
user_1,"[""content_4"", ""content_10"", ""content_29""]",content_10,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835707
user_1,"[""content_60"", ""content_45"", ""content_11""]",content_11,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835718
user_1,"[""content_54"", ""content_8"", ""content_1""]",content_1,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835758
user_1,"[""content_20"", ""content_22"", ""content_3""]",content_3,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835780
user_1,"[""content_30"", ""content_42"", ""content_54""]",content_54,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835795
user_1,"[""content_25"", ""content_2"", ""content_19""]",content_25,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835806
user_1,"[""content_24"", ""content_27"", ""content_49""]",content_27,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835816
user_1,"[""content_3"", ""content_22"", ""content_58""]",content_3,Based on 11th and goal Researcher.,2025-10-28T16:51:11.835826
user_2,"[""content_46"", ""content_16"", ""content_29""]",content_16,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835840
user_2,"[""content_59"", ""content_28"", ""content_38""]",content_38,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835851
user_2,"[""content_16"", ""content_14"", ""content_2""]",content_14,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835863
user_2,"[""content_31"", ""content_42"", ""content_29""]",content_29,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835874
user_2,"[""content_14"", ""content_2"", ""content_53""]",content_2,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835884
user_2,"[""content_31"", ""content_45"", ""content_51""]",content_31,Based on 12th and goal Software Engineer.,2025-10-28T16:51:11.835894
user_3,"[""content_60"", ""content_9"", ""content_12""]",content_12,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835906
user_3,"[""content_12"", ""content_27"", ""content_57""]",content_27,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835917
user_3,"[""content_59"", ""content_37"", ""content_42""]",content_37,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835927
user_3,"[""content_50"", ""content_6"", ""content_40""]",content_50,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835937
user_3,"[""content_50"", ""content_33"", ""content_29""]",content_29,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835948
user_3,"[""content_42"", ""content_33"", ""content_28""]",content_33,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835958
user_3,"[""content_14"", ""content_33"", ""content_49""]",content_33,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835972
user_3,"[""content_44"", ""content_39"", ""content_52""]",content_44,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835984
user_3,"[""content_25"", ""content_31"", ""content_49""]",content_25,Based on 10th and goal Doctor.,2025-10-28T16:51:11.835995
user_4,"[""content_27"", ""content_14"", ""content_20""]",content_20,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836007
user_4,"[""content_53"", ""content_11"", ""content_45""]",content_45,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836016
user_4,"[""content_45"", ""content_40"", ""content_56""]",content_56,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836026
user_4,"[""content_49"", ""content_31"", ""content_26""]",content_49,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836036
user_4,"[""content_48"", ""content_55"", ""content_21""]",content_21,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836045
user_4,"[""content_21"", ""content_55"", ""content_2""]",content_2,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836055
user_4,"[""content_41"", ""content_20"", ""content_37""]",content_41,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836064
user_4,"[""content_9"", ""content_54"", ""content_8""]",content_8,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836074
user_4,"[""content_30"", ""content_4"", ""content_17""]",content_17,Based on 10th and goal AI Engineer.,2025-10-28T16:51:11.836084
user_5,"[""content_28"", ""content_49"", ""content_45""]",content_28,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836095
user_5,"[""content_35"", ""content_56"", ""content_26""]",content_26,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836106
user_5,"[""content_47"", ""content_29"", ""content_2""]",content_29,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836115
user_5,"[""content_26"", ""content_14"", ""content_12""]",content_26,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836125
user_5,"[""content_49"", ""content_5"", ""content_26""]",content_49,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836135
user_5,"[""content_37"", ""content_60"", ""content_44""]",content_37,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836145
user_5,"[""content_31"", ""content_13"", ""content_52""]",content_52,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836155
user_5,"[""content_38"", ""content_12"", ""content_50""]",content_50,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836165
user_5,"[""content_54"", ""content_40"", ""content_6""]",content_6,Based on College and goal Chemical Engineer.,2025-10-28T16:51:11.836175
user_6,"[""content_53"", ""content_35"", ""content_60""]",content_53,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836185
user_6,"[""content_32"", ""content_8"", ""content_36""]",content_32,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836195
user_6,"[""content_27"", ""content_45"", ""content_21""]",content_27,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836204
user_6,"[""content_50"", ""content_52"", ""content_15""]",content_52,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836213
user_6,"[""content_6"", ""content_30"", ""content_48""]",content_6,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836223
user_6,"[""content_35"", ""content_28"", ""content_53""]",content_28,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836232
user_6,"[""content_40"", ""content_17"", ""content_11""]",content_17,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836242
user_6,"[""content_38"", ""content_19"", ""content_11""]",content_38,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836251
user_6,"[""content_14"", ""content_46"", ""content_45""]",content_45,Based on College and goal AI Engineer.,2025-10-28T16:51:11.836260
user_7,"[""content_44"", ""content_43"", ""content_16""]",content_44,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836275
user_7,"[""content_44"", ""content_50"", ""content_16""]",content_50,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836285
user_7,"[""content_20"", ""content_44"", ""content_41""]",content_41,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836294
user_7,"[""content_45"", ""content_2"", ""content_8""]",content_2,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836304
user_7,"[""content_23"", ""content_50"", ""content_37""]",content_37,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836313
user_7,"[""content_27"", ""content_29"", ""content_2""]",content_29,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836323
user_7,"[""content_39"", ""content_12"", ""content_5""]",content_5,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836333
user_7,"[""content_22"", ""content_53"", ""content_35""]",content_53,Based on 10th and goal Civil Engineer.,2025-10-28T16:51:11.836342
